        0.4260E+01       -0.1000E+02       -0.7412E-11
        0.8520E+01       -0.1000E+02       -0.8390E-11
        0.1278E+02       -0.1000E+02       -0.8493E-11
        0.1704E+02       -0.1000E+02       -0.8551E-11
        0.2130E+02       -0.1000E+02       -0.7582E-11

        0.4260E+01       -0.9993E+01       -0.1588E-10
        0.8520E+01       -0.9993E+01       -0.1372E-10
        0.1278E+02       -0.9993E+01       -0.1376E-10
        0.1704E+02       -0.9993E+01       -0.1378E-10
        0.2130E+02       -0.9993E+01       -0.1597E-10

        0.4260E+01       -0.9986E+01       -0.2701E-10
        0.8520E+01       -0.9986E+01       -0.1979E-10
        0.1278E+02       -0.9986E+01       -0.1967E-10
        0.1704E+02       -0.9986E+01       -0.1961E-10
        0.2130E+02       -0.9986E+01       -0.2658E-10

        0.4260E+01       -0.9979E+01       -0.2924E-13
        0.8520E+01       -0.9979E+01       -0.1495E-13
        0.1278E+02       -0.9979E+01       -0.1274E-13
        0.1704E+02       -0.9979E+01       -0.1261E-13
        0.2130E+02       -0.9979E+01       -0.2511E-13

        0.4260E+01       -0.9972E+01       -0.2894E-14
        0.8520E+01       -0.9972E+01       -0.9138E-15
        0.1278E+02       -0.9972E+01       -0.5136E-15
        0.1704E+02       -0.9972E+01       -0.4494E-15
        0.2130E+02       -0.9972E+01       -0.2067E-14

        0.4260E+01       -0.9965E+01       -0.1099E-14
        0.8520E+01       -0.9965E+01       -0.2749E-15
        0.1278E+02       -0.9965E+01       -0.1136E-15
        0.1704E+02       -0.9965E+01       -0.6966E-16
        0.2130E+02       -0.9965E+01       -0.7218E-15

        0.4260E+01       -0.9958E+01       -0.5655E-15
        0.8520E+01       -0.9958E+01       -0.1209E-15
        0.1278E+02       -0.9958E+01       -0.3849E-16
        0.1704E+02       -0.9958E+01       -0.6859E-17
        0.2130E+02       -0.9958E+01       -0.3510E-15

        0.4260E+01       -0.9951E+01       -0.3373E-15
        0.8520E+01       -0.9951E+01       -0.6413E-16
        0.1278E+02       -0.9951E+01       -0.1623E-16
        0.1704E+02       -0.9951E+01        0.7469E-17
        0.2130E+02       -0.9951E+01       -0.2004E-15

        0.4260E+01       -0.9944E+01       -0.2200E-15
        0.8520E+01       -0.9944E+01       -0.3817E-16
        0.1278E+02       -0.9944E+01       -0.7861E-17
        0.1704E+02       -0.9944E+01        0.1047E-16
        0.2130E+02       -0.9944E+01       -0.1261E-15

        0.4260E+01       -0.9937E+01       -0.1525E-15
        0.8520E+01       -0.9937E+01       -0.2460E-16
        0.1278E+02       -0.9937E+01       -0.4202E-17
        0.1704E+02       -0.9937E+01        0.1036E-16
        0.2130E+02       -0.9937E+01       -0.8461E-16

        0.4260E+01       -0.9930E+01       -0.1105E-15
        0.8520E+01       -0.9930E+01       -0.1682E-16
