        0.4260E+01       -0.1000E+02       -0.1394E-08
        0.8520E+01       -0.1000E+02       -0.1412E-08
        0.1278E+02       -0.1000E+02       -0.1425E-08
        0.1704E+02       -0.1000E+02       -0.1432E-08
        0.2130E+02       -0.1000E+02       -0.1419E-08

        0.4260E+01       -0.9993E+01       -0.3004E-08
        0.8520E+01       -0.9993E+01       -0.2419E-08
        0.1278E+02       -0.9993E+01       -0.2419E-08
        0.1704E+02       -0.9993E+01       -0.2418E-08
        0.2130E+02       -0.9993E+01       -0.3000E-08

        0.4260E+01       -0.9986E+01       -0.4804E-09
        0.8520E+01       -0.9986E+01       -0.3178E-09
        0.1278E+02       -0.9986E+01       -0.3107E-09
        0.1704E+02       -0.9986E+01       -0.3090E-09
        0.2130E+02       -0.9986E+01       -0.4609E-09

        0.4260E+01       -0.9979E+01       -0.9004E-12
        0.8520E+01       -0.9979E+01       -0.3322E-12
        0.1278E+02       -0.9979E+01       -0.2190E-12
        0.1704E+02       -0.9979E+01       -0.2072E-12
        0.2130E+02       -0.9979E+01       -0.6815E-12

        0.4260E+01       -0.9972E+01       -0.2537E-12
        0.8520E+01       -0.9972E+01       -0.7052E-13
        0.1278E+02       -0.9972E+01       -0.3375E-13
        0.1704E+02       -0.9972E+01       -0.2596E-13
        0.2130E+02       -0.9972E+01       -0.1731E-12

        0.4260E+01       -0.9965E+01       -0.1154E-12
        0.8520E+01       -0.9965E+01       -0.2667E-13
        0.1278E+02       -0.9965E+01       -0.9706E-14
        0.1704E+02       -0.9965E+01       -0.4248E-14
        0.2130E+02       -0.9965E+01       -0.7367E-13

        0.4260E+01       -0.9958E+01       -0.6419E-13
        0.8520E+01       -0.9958E+01       -0.1297E-13
        0.1278E+02       -0.9958E+01       -0.3710E-14
        0.1704E+02       -0.9958E+01        0.2909E-15
        0.2130E+02       -0.9958E+01       -0.3904E-13

        0.4260E+01       -0.9951E+01       -0.4003E-13
        0.8520E+01       -0.9951E+01       -0.7294E-14
        0.1278E+02       -0.9951E+01       -0.1680E-14
        0.1704E+02       -0.9951E+01        0.1360E-14
        0.2130E+02       -0.9951E+01       -0.2340E-13

        0.4260E+01       -0.9944E+01       -0.2688E-13
        0.8520E+01       -0.9944E+01       -0.4511E-14
        0.1278E+02       -0.9944E+01       -0.8545E-15
        0.1704E+02       -0.9944E+01        0.1525E-14
        0.2130E+02       -0.9944E+01       -0.1519E-13

        0.4260E+01       -0.9937E+01       -0.1902E-13
        0.8520E+01       -0.9937E+01       -0.2988E-14
        0.1278E+02       -0.9937E+01       -0.4734E-15
        0.1704E+02       -0.9937E+01        0.1435E-14
        0.2130E+02       -0.9937E+01       -0.1042E-13

        0.4260E+01       -0.9930E+01       -0.1400E-13
        0.8520E+01       -0.9930E+01       -0.2086E-14
        0.1278E+02       -0.9930E+01       -0.2804E-15
        0.1704E+02       -0.9930E+01        0.1283E-14
        0.2130E+02       -0.9930E+01       -0.7443E-14

        0.4260E+01       -0.9923E+01       -0.1062E-13
        0.8520E+01       -0.9923E+01       -0.1518E-14
        0.1278E+02       -0.9923E+01       -0.1755E-15
        0.1704E+02       -0.9923E+01        0.1129E-14
        0.2130E+02       -0.9923E+01       -0.5481E-14

        0.4260E+01       -0.9916E+01       -0.8257E-14
        0.8520E+01       -0.9916E+01       -0.1143E-14
        0.1278E+02       -0.9916E+01       -0.1149E-15
        0.1704E+02       -0.9916E+01        0.9919E-15
        0.2130E+02       -0.9916E+01       -0.4129E-14

        0.4260E+01       -0.9909E+01       -0.6549E-14
        0.8520E+01       -0.9909E+01       -0.8864E-15
        0.1278E+02       -0.9909E+01       -0.7823E-16
        0.1704E+02       -0.9909E+01        0.8746E-15
        0.2130E+02       -0.9909E+01       -0.3164E-14

        0.4260E+01       -0.9902E+01       -0.5282E-14
        0.8520E+01       -0.9902E+01       -0.7044E-15
        0.1278E+02       -0.9902E+01       -0.5504E-16
        0.1704E+02       -0.9902E+01        0.7764E-15
        0.2130E+02       -0.9902E+01       -0.2453E-14

        0.4260E+01       -0.9895E+01       -0.4319E-14
        0.8520E+01       -0.9895E+01       -0.5720E-15
        0.1278E+02       -0.9895E+01       -0.3982E-16
        0.1704E+02       -0.9895E+01        0.6948E-15
        0.2130E+02       -0.9895E+01       -0.1916E-14

        0.4260E+01       -0.9888E+01       -0.3573E-14
        0.8520E+01       -0.9888E+01       -0.4735E-15
        0.1278E+02       -0.9888E+01       -0.2949E-16
        0.1704E+02       -0.9888E+01        0.6272E-15
        0.2130E+02       -0.9888E+01       -0.1500E-14

        0.4260E+01       -0.9881E+01       -0.2985E-14
        0.8520E+01       -0.9881E+01       -0.3987E-15
        0.1278E+02       -0.9881E+01       -0.2224E-16
        0.1704E+02       -0.9881E+01        0.5713E-15
        0.2130E+02       -0.9881E+01       -0.1170E-14

        0.4260E+01       -0.9874E+01       -0.2514E-14
        0.8520E+01       -0.9874E+01       -0.3409E-15
        0.1278E+02       -0.9874E+01       -0.1701E-16
        0.1704E+02       -0.9874E+01        0.5249E-15
        0.2130E+02       -0.9874E+01       -0.9031E-15

        0.4260E+01       -0.9867E+01       -0.2131E-14
        0.8520E+01       -0.9867E+01       -0.2955E-15
        0.1278E+02       -0.9867E+01       -0.1311E-16
        0.1704E+02       -0.9867E+01        0.4866E-15
        0.2130E+02       -0.9867E+01       -0.6828E-15

        0.4260E+01       -0.9860E+01       -0.1815E-14
        0.8520E+01       -0.9860E+01       -0.2593E-15
        0.1278E+02       -0.9860E+01       -0.1012E-16
        0.1704E+02       -0.9860E+01        0.4550E-15
        0.2130E+02       -0.9860E+01       -0.4973E-15

        0.4260E+01       -0.9853E+01       -0.1550E-14
        0.8520E+01       -0.9853E+01       -0.2302E-15
        0.1278E+02       -0.9853E+01       -0.7748E-17
        0.1704E+02       -0.9853E+01        0.4290E-15
        0.2130E+02       -0.9853E+01       -0.3379E-15

        0.4260E+01       -0.9846E+01       -0.1327E-14
        0.8520E+01       -0.9846E+01       -0.2064E-15
        0.1278E+02       -0.9846E+01       -0.5808E-17
        0.1704E+02       -0.9846E+01        0.4078E-15
        0.2130E+02       -0.9846E+01       -0.1980E-15

        0.4260E+01       -0.9839E+01       -0.1134E-14
        0.8520E+01       -0.9839E+01       -0.1868E-15
        0.1278E+02       -0.9839E+01       -0.4165E-17
        0.1704E+02       -0.9839E+01        0.3907E-15
        0.2130E+02       -0.9839E+01       -0.7278E-16

        0.4260E+01       -0.9832E+01       -0.9672E-15
        0.8520E+01       -0.9832E+01       -0.1704E-15
        0.1278E+02       -0.9832E+01       -0.2724E-17
        0.1704E+02       -0.9832E+01        0.3773E-15
        0.2130E+02       -0.9832E+01        0.4170E-16

        0.4260E+01       -0.9825E+01       -0.8195E-15
        0.8520E+01       -0.9825E+01       -0.1566E-15
        0.1278E+02       -0.9825E+01       -0.1413E-17
        0.1704E+02       -0.9825E+01        0.3671E-15
        0.2130E+02       -0.9825E+01        0.1485E-15

        0.4260E+01       -0.9818E+01       -0.6872E-15
        0.8520E+01       -0.9818E+01       -0.1448E-15
        0.1278E+02       -0.9818E+01       -0.1769E-18
        0.1704E+02       -0.9818E+01        0.3597E-15
        0.2130E+02       -0.9818E+01        0.2503E-15

        0.4260E+01       -0.9811E+01       -0.5666E-15
        0.8520E+01       -0.9811E+01       -0.1345E-15
        0.1278E+02       -0.9811E+01        0.1029E-17
        0.1704E+02       -0.9811E+01        0.3550E-15
        0.2130E+02       -0.9811E+01        0.3490E-15

        0.4260E+01       -0.9804E+01       -0.4550E-15
        0.8520E+01       -0.9804E+01       -0.1256E-15
        0.1278E+02       -0.9804E+01        0.2243E-17
        0.1704E+02       -0.9804E+01        0.3528E-15
        0.2130E+02       -0.9804E+01        0.4468E-15

        0.4260E+01       -0.9797E+01       -0.3499E-15
        0.8520E+01       -0.9797E+01       -0.1176E-15
        0.1278E+02       -0.9797E+01        0.3500E-17
        0.1704E+02       -0.9797E+01        0.3530E-15
        0.2130E+02       -0.9797E+01        0.5452E-15

        0.4260E+01       -0.9790E+01       -0.2491E-15
        0.8520E+01       -0.9790E+01       -0.1103E-15
        0.1278E+02       -0.9790E+01        0.4837E-17
