        0.0000E+00       -0.1000E+02       -0.5780E-11        0.4052E+01
        0.4260E+01       -0.1000E+02       -0.9771E-11        0.2490E+01
        0.8520E+01       -0.1000E+02       -0.1405E-10        0.2482E+01
        0.1278E+02       -0.1000E+02       -0.1994E-10        0.2872E+01
        0.1704E+02       -0.1000E+02       -0.2155E-10        0.4876E+01
        0.2130E+02       -0.1000E+02       -0.2499E-10        0.5864E+01

        0.0000E+00       -0.9993E+01       -0.2551E-11        0.2017E+01
        0.4260E+01       -0.9993E+01       -0.4348E-11        0.1925E+01
        0.8520E+01       -0.9993E+01       -0.5009E-11        0.1983E+01
        0.1278E+02       -0.9993E+01       -0.2142E-10        0.2248E+01
        0.1704E+02       -0.9993E+01       -0.2843E-10        0.2315E+01
        0.2130E+02       -0.9993E+01       -0.2497E-10        0.2314E+01

        0.0000E+00       -0.9986E+01       -0.1106E-09        0.3522E+01
        0.4260E+01       -0.9986E+01       -0.5079E-11        0.1845E+01
        0.8520E+01       -0.9986E+01       -0.1063E-10        0.1900E+01
        0.1278E+02       -0.9986E+01       -0.3307E-10        0.2177E+01
        0.1704E+02       -0.9986E+01       -0.7973E-10        0.2217E+01
        0.2130E+02       -0.9986E+01       -0.1089E-09        0.2339E+01

        0.0000E+00       -0.9979E+01       -0.2776E-09        0.1181E+02
        0.4260E+01       -0.9979E+01       -0.2110E-09        0.9808E+01
        0.8520E+01       -0.9979E+01       -0.1535E-09        0.1044E+02
        0.1278E+02       -0.9979E+01       -0.1600E-09        0.1168E+02
        0.1704E+02       -0.9979E+01       -0.2983E-09        0.1062E+02
        0.2130E+02       -0.9979E+01       -0.3205E-09        0.1902E+02

        0.0000E+00       -0.9972E+01       -0.2723E-09        0.1935E+02
        0.4260E+01       -0.9972E+01       -0.2267E-09        0.2774E+02
        0.8520E+01       -0.9972E+01       -0.1030E-09        0.1992E+02
        0.1278E+02       -0.9972E+01       -0.4567E-10        0.1277E+02
        0.1704E+02       -0.9972E+01       -0.1671E-10        0.4832E+01
        0.2130E+02       -0.9972E+01       -0.1461E-10        0.6839E+01

        0.0000E+00       -0.9965E+01       -0.1309E-10        0.3062E+01
        0.4260E+01       -0.9965E+01       -0.1290E-10        0.4286E+01
        0.8520E+01       -0.9965E+01       -0.1081E-10        0.3244E+01
        0.1278E+02       -0.9965E+01       -0.3340E-10        0.7693E+01
        0.1704E+02       -0.9965E+01       -0.2052E-10        0.2692E+01
        0.2130E+02       -0.9965E+01       -0.2379E-10        0.4743E+01

        0.0000E+00       -0.9958E+01       -0.1288E-10        0.3006E+01
        0.4260E+01       -0.9958E+01       -0.1680E-10        0.6028E+01
        0.8520E+01       -0.9958E+01       -0.1114E-10        0.3067E+01
        0.1278E+02       -0.9958E+01       -0.9525E-10        0.1543E+02
        0.1704E+02       -0.9958E+01       -0.1890E-10        0.3051E+01
        0.2130E+02       -0.9958E+01       -0.4537E-10        0.8335E+01

        0.0000E+00       -0.9951E+01       -0.3322E-10        0.4388E+01
        0.4260E+01       -0.9951E+01       -0.4505E-10        0.1068E+02
        0.8520E+01       -0.9951E+01       -0.1939E-10        0.3433E+01
        0.1278E+02       -0.9951E+01       -0.3044E-09        0.3879E+02
