        0.0000E+00       -0.1000E+02        0.1932E-16       -0.3994E-16
        0.4260E+01       -0.1000E+02        0.2421E-16       -0.4238E-16
        0.8520E+01       -0.1000E+02        0.2757E-16       -0.3597E-16
        0.1278E+02       -0.1000E+02        0.2361E-16       -0.1964E-16
        0.1704E+02       -0.1000E+02        0.1604E-16       -0.1979E-16
        0.2130E+02       -0.1000E+02        0.1024E-16       -0.1800E-16

        0.0000E+00       -0.9993E+01        0.2288E-16       -0.2310E-16
        0.4260E+01       -0.9993E+01        0.2876E-16       -0.2908E-16
        0.8520E+01       -0.9993E+01        0.3119E-16       -0.2554E-16
        0.1278E+02       -0.9993E+01        0.1722E-16        0.5703E-17
        0.1704E+02       -0.9993E+01        0.1027E-16        0.1167E-16
        0.2130E+02       -0.9993E+01        0.6349E-17        0.9685E-17

        0.0000E+00       -0.9986E+01        0.1009E-16       -0.2921E-16
        0.4260E+01       -0.9986E+01        0.1139E-16       -0.3404E-16
        0.8520E+01       -0.9986E+01        0.1650E-16       -0.2885E-16
        0.1278E+02       -0.9986E+01        0.4343E-16       -0.4536E-17
        0.1704E+02       -0.9986E+01        0.4652E-16       -0.1022E-17
        0.2130E+02       -0.9986E+01        0.3936E-16       -0.2575E-17

        0.0000E+00       -0.9979E+01        0.1466E-16       -0.4556E-16
        0.4260E+01       -0.9979E+01        0.1904E-16       -0.5430E-16
        0.8520E+01       -0.9979E+01        0.2406E-16       -0.5102E-16
        0.1278E+02       -0.9979E+01        0.3419E-16       -0.2130E-16
        0.1704E+02       -0.9979E+01        0.2984E-16       -0.1298E-16
        0.2130E+02       -0.9979E+01        0.2225E-16       -0.1125E-16

        0.0000E+00       -0.9972E+01        0.3094E-16       -0.1957E-16
        0.4260E+01       -0.9972E+01        0.3819E-16       -0.2340E-16
        0.8520E+01       -0.9972E+01        0.4005E-16       -0.1717E-16
        0.1278E+02       -0.9972E+01        0.2407E-16        0.2124E-17
        0.1704E+02       -0.9972E+01        0.1678E-16        0.3571E-17
        0.2130E+02       -0.9972E+01        0.1240E-16       -0.1428E-17

        0.0000E+00       -0.9965E+01        0.1686E-16       -0.3640E-16
        0.4260E+01       -0.9965E+01        0.1945E-16       -0.4401E-16
        0.8520E+01       -0.9965E+01        0.1944E-16       -0.3608E-16
        0.1278E+02       -0.9965E+01        0.7590E-17        0.2134E-16
        0.1704E+02       -0.9965E+01        0.3825E-17        0.3502E-16
        0.2130E+02       -0.9965E+01        0.1451E-17        0.2982E-16

        0.0000E+00       -0.9958E+01        0.2099E-16       -0.1942E-16
        0.4260E+01       -0.9958E+01        0.2352E-16       -0.2507E-16
        0.8520E+01       -0.9958E+01        0.2453E-16       -0.2560E-16
        0.1278E+02       -0.9958E+01        0.1408E-16       -0.2751E-16
        0.1704E+02       -0.9958E+01        0.9212E-17       -0.2545E-16
        0.2130E+02       -0.9958E+01        0.5113E-17       -0.2365E-16

        0.0000E+00       -0.9951E+01        0.3324E-16        0.9667E-17
        0.4260E+01       -0.9951E+01        0.4035E-16        0.5441E-17
        0.8520E+01       -0.9951E+01        0.4281E-16        0.4749E-17
        0.1278E+02       -0.9951E+01        0.2714E-16        0.1402E-16
        0.1704E+02       -0.9951E+01        0.1821E-16        0.1923E-16
        0.2130E+02       -0.9951E+01        0.1218E-16        0.1630E-16

        0.0000E+00       -0.9944E+01        0.2736E-16       -0.4662E-16
        0.4260E+01       -0.9944E+01        0.3051E-16       -0.5488E-16
        0.8520E+01       -0.9944E+01        0.3102E-16       -0.4754E-16
        0.1278E+02       -0.9944E+01        0.1234E-16        0.4621E-17
        0.1704E+02       -0.9944E+01        0.5531E-17        0.1736E-16
        0.2130E+02       -0.9944E+01        0.1222E-17        0.1423E-16

        0.0000E+00       -0.9937E+01        0.2325E-16       -0.3368E-16
        0.4260E+01       -0.9937E+01        0.2528E-16       -0.4141E-16
        0.8520E+01       -0.9937E+01        0.2687E-16       -0.4021E-16
        0.1278E+02       -0.9937E+01        0.2228E-16       -0.2388E-16
        0.1704E+02       -0.9937E+01        0.1950E-16       -0.2034E-16
        0.2130E+02       -0.9937E+01        0.1471E-16       -0.1890E-16

        0.0000E+00       -0.9930E+01        0.3581E-16        0.5698E-16
